WISE_ID,ConstructionType,LoadBearingCapacity (kPa),AlternativeUse,ModificationRecommendation,Success
AR041,Residential Building,50,,,True
AR041,High-rise Building,150,Residential Building,Reduce liquid limit via compaction,False
AR041,Low-rise,100,Residential Building,Reduce liquid limit via compaction,False
AR041,Roads & Highways,70,,,True
AR041,Bridges,120,Residential Building,Reduce liquid limit via compaction,False
AR041,Tunnels,150,Residential Building,Reduce liquid limit via compaction,False
AR041,Railway Tracks,80,,,True
AR041,Pipeline Infrastructure,30,,,True
AR041,Dams,100,Residential Building,Reduce liquid limit via compaction,False
AR041,Water Reservoirs,90,Residential Building,Reduce liquid limit via compaction,False
AR041,Airport Runways,180,Residential Building,Reduce liquid limit via compaction,False
AR042,Residential Building,50,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AR042,High-rise Building,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AR042,Low-rise,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AR042,Roads & Highways,70,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AR042,Bridges,120,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AR042,Tunnels,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AR042,Railway Tracks,80,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AR042,Pipeline Infrastructure,30,,,True
AR042,Dams,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AR042,Water Reservoirs,90,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AR042,Airport Runways,180,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AR043,Residential Building,50,,,True
AR043,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
AR043,Low-rise,100,,,True
AR043,Roads & Highways,70,,,True
AR043,Bridges,120,,,True
AR043,Tunnels,150,Bridges,Increase CBR in top 2 layers,False
AR043,Railway Tracks,80,,,True
AR043,Pipeline Infrastructure,30,,,True
AR043,Dams,100,,,True
AR043,Water Reservoirs,90,,,True
AR043,Airport Runways,180,Residential Building,Increase CBR in top 2 layers,False
AR044,Residential Building,50,,Reduce liquid limit via compaction,False
AR044,High-rise Building,150,,Reduce liquid limit via compaction,False
AR044,Low-rise,100,,Reduce liquid limit via compaction,False
AR044,Roads & Highways,70,,Reduce liquid limit via compaction,False
AR044,Bridges,120,,Increase CBR in top 2 layers,False
AR044,Tunnels,150,,Increase CBR in top 2 layers,False
AR044,Railway Tracks,80,,Reduce liquid limit via compaction,False
AR044,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
AR044,Dams,100,,Reduce liquid limit via compaction,False
AR044,Water Reservoirs,90,,Reduce liquid limit via compaction,False
AR044,Airport Runways,180,,Use deep foundations or densify subsoil,False
AR045,Residential Building,50,,,True
AR045,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
AR045,Low-rise,100,Residential Building,Use deep foundations or densify subsoil,False
AR045,Roads & Highways,70,,,True
AR045,Bridges,120,Residential Building,Reduce liquid limit via compaction,False
AR045,Tunnels,150,Residential Building,Reduce liquid limit via compaction,False
AR045,Railway Tracks,80,,,True
AR045,Pipeline Infrastructure,30,,,True
AR045,Dams,100,Residential Building,Use deep foundations or densify subsoil,False
AR045,Water Reservoirs,90,Residential Building,Use deep foundations or densify subsoil,False
AR045,Airport Runways,180,Residential Building,Reduce liquid limit via compaction,False
AU032,Residential Building,50,,,True
AU032,High-rise Building,150,Residential Building,Use deep foundations or densify subsoil,False
AU032,Low-rise,100,Residential Building,Reduce liquid limit via compaction,False
AU032,Roads & Highways,70,,,True
AU032,Bridges,120,Residential Building,Reduce liquid limit via compaction,False
AU032,Tunnels,150,Residential Building,Use deep foundations or densify subsoil,False
AU032,Railway Tracks,80,,,True
AU032,Pipeline Infrastructure,30,,,True
AU032,Dams,100,Residential Building,Reduce liquid limit via compaction,False
AU032,Water Reservoirs,90,Residential Building,Reduce liquid limit via compaction,False
AU032,Airport Runways,180,Residential Building,Use deep foundations or densify subsoil,False
AU033,Residential Building,50,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU033,High-rise Building,150,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU033,Low-rise,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU033,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU033,Bridges,120,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU033,Tunnels,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU033,Railway Tracks,80,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU033,Pipeline Infrastructure,30,,,True
AU033,Dams,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU033,Water Reservoirs,90,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU033,Airport Runways,180,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU034,Residential Building,50,,Reduce liquid limit via compaction,False
AU034,High-rise Building,150,,Increase CBR in top 2 layers,False
AU034,Low-rise,100,,Reduce liquid limit via compaction,False
AU034,Roads & Highways,70,,Reduce liquid limit via compaction,False
AU034,Bridges,120,,Reduce liquid limit via compaction,False
AU034,Tunnels,150,,Reduce liquid limit via compaction,False
AU034,Railway Tracks,80,,Reduce liquid limit via compaction,False
AU034,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
AU034,Dams,100,,Reduce liquid limit via compaction,False
AU034,Water Reservoirs,90,,Reduce liquid limit via compaction,False
AU034,Airport Runways,180,,Increase CBR in top 2 layers,False
AU035,Residential Building,50,,Reduce liquid limit via compaction,False
AU035,High-rise Building,150,,Use deep foundations or densify subsoil,False
AU035,Low-rise,100,,Use deep foundations or densify subsoil,False
AU035,Roads & Highways,70,,Reduce liquid limit via compaction,False
AU035,Bridges,120,,Increase CBR in top 2 layers,False
AU035,Tunnels,150,,Use deep foundations or densify subsoil,False
AU035,Railway Tracks,80,,Reduce liquid limit via compaction,False
AU035,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
AU035,Dams,100,,Reduce liquid limit via compaction,False
AU035,Water Reservoirs,90,,Reduce liquid limit via compaction,False
AU035,Airport Runways,180,,Increase CBR in top 2 layers,False
AU036,Residential Building,50,,Reduce liquid limit via compaction,False
AU036,High-rise Building,150,,Increase CBR in top 2 layers,False
AU036,Low-rise,100,,Reduce liquid limit via compaction,False
AU036,Roads & Highways,70,,Reduce liquid limit via compaction,False
AU036,Bridges,120,,Reduce liquid limit via compaction,False
AU036,Tunnels,150,,Use deep foundations or densify subsoil,False
AU036,Railway Tracks,80,,Reduce liquid limit via compaction,False
AU036,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
AU036,Dams,100,,Reduce liquid limit via compaction,False
AU036,Water Reservoirs,90,,Reduce liquid limit via compaction,False
AU036,Airport Runways,180,,Increase CBR in top 2 layers,False
AU037,Residential Building,50,,Reduce liquid limit via compaction,False
AU037,High-rise Building,150,,Reduce liquid limit via compaction,False
AU037,Low-rise,100,,Reduce liquid limit via compaction,False
AU037,Roads & Highways,70,,Reduce liquid limit via compaction,False
AU037,Bridges,120,,Increase CBR in top 2 layers,False
AU037,Tunnels,150,,Use deep foundations or densify subsoil,False
AU037,Railway Tracks,80,,Reduce liquid limit via compaction,False
AU037,Pipeline Infrastructure,30,,Reduce liquid limit via compaction,False
AU037,Dams,100,,Reduce liquid limit via compaction,False
AU037,Water Reservoirs,90,,Reduce liquid limit via compaction,False
AU037,Airport Runways,180,,Use deep foundations or densify subsoil,False
AU038,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU038,High-rise Building,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU038,Low-rise,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU038,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU038,Bridges,120,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU038,Tunnels,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU038,Railway Tracks,80,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU038,Pipeline Infrastructure,30,,,True
AU038,Dams,100,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU038,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU038,Airport Runways,180,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU039,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU039,High-rise Building,150,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU039,Low-rise,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU039,Roads & Highways,70,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU039,Bridges,120,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU039,Tunnels,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
AU039,Railway Tracks,80,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU039,Pipeline Infrastructure,30,,,True
AU039,Dams,100,Pipeline Infrastructure,Increase CBR in top 2 layers,False
AU039,Water Reservoirs,90,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU039,Airport Runways,180,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU040,Residential Building,50,Pipeline Infrastructure,Reduce liquid limit via compaction,False
AU040,High-rise Building,150,Pipeline Infrastructure,Use deep foundations or densify subsoil,False
