WISE_ID,TOPDEP,BOTDEP,SAND,SILT,CLAY,GRAVEL,BULKDENS,OMC,MDD,CBR,LLMT,PLIND,POROS
AR041,0.0,26.0,47.0,36.0,17.0,18.2,0.9,17.9,2.1,8.9,34.6,18.2,38.7
AR041,26.0,38.0,49.0,33.0,18.0,18.2,0.9,22.7,2.2,11.9,44.7,7.9,48.2
AR041,38.0,63.0,48.0,32.0,20.0,18.2,0.9,15.8,1.5,7.8,45.1,18.3,38.9
AR041,63.0,90.0,47.0,34.0,19.0,18.2,0.9,21.1,1.9,8.2,55.0,17.5,34.9
AR041,90.0,150.0,51.0,33.0,16.0,18.2,0.9,20.7,1.8,2.5,44.8,29.2,38.4
AR041,150.0,180.0,53.0,36.0,11.0,18.2,0.9,20.8,1.7,8.2,44.9,12.3,33.1
AR041,180.0,200.0,57.0,33.0,10.0,18.2,0.9,26.6,1.8,7.9,44.7,22.7,38.5
AR042,0.0,20.0,78.0,14.0,8.0,18.2,0.9,27.1,1.9,4.0,41.5,18.6,33.8
AR042,20.0,45.0,80.0,13.0,7.0,18.2,0.9,29.0,2.2,4.2,30.3,18.5,45.4
AR042,45.0,200.0,80.0,13.0,7.0,18.2,0.9,27.7,1.5,4.1,37.4,18.5,44.3
AR042,200.0,220.0,84.0,11.0,5.0,18.2,0.9,25.4,2.0,3.8,41.6,19.0,24.9
AR043,0.0,8.0,40.0,37.0,23.0,18.2,0.9,16.3,1.8,14.0,25.7,21.1,39.6
AR043,8.0,30.0,41.0,35.0,24.0,18.2,0.9,26.6,2.0,14.4,21.7,13.2,35.9
AR043,30.0,45.0,31.0,25.0,44.0,18.2,0.9,25.7,2.2,14.7,27.7,22.8,39.1
AR043,45.0,75.0,30.0,26.0,44.0,18.2,0.9,18.9,1.9,14.0,31.4,14.6,37.9
AR043,75.0,95.0,31.0,28.0,41.0,18.2,0.9,21.5,2.0,14.5,31.9,9.4,37.9
AR043,95.0,125.0,31.0,32.0,37.0,18.2,0.9,21.4,1.7,14.7,50.9,10.0,38.5
AR044,0.0,15.0,58.0,25.0,17.0,18.2,0.9,12.9,2.1,10.3,46.3,10.5,26.9
AR044,15.0,40.0,59.0,25.0,16.0,18.2,0.9,26.0,1.9,10.3,45.5,7.1,27.7
AR044,40.0,55.0,64.0,26.0,10.0,18.2,0.9,27.4,2.1,9.5,46.1,9.5,30.2
AR044,55.0,80.0,53.0,23.0,24.0,18.2,0.9,21.7,1.6,10.7,46.5,14.2,24.4
AR044,80.0,95.0,59.0,23.0,18.0,18.2,0.9,20.2,2.1,11.6,36.0,10.2,27.6
AR044,95.0,135.0,62.0,24.0,14.0,18.2,0.9,21.3,1.7,10.6,56.0,12.2,27.6
AR045,0.0,10.0,72.0,18.0,10.0,18.2,0.9,21.9,1.9,10.9,37.7,12.1,36.0
AR045,10.0,20.0,74.0,17.0,9.0,18.2,0.9,17.2,2.1,5.3,33.5,11.7,23.8
AR045,20.0,47.0,72.0,16.0,12.0,18.2,0.9,11.7,2.2,6.5,48.1,11.9,36.0
